Date,Open,High,Low,Close,Adj Close,Volume
2013-12-19,2.310000,2.355000,2.250000,2.300000,2.300000,1541849
2013-12-20,2.350000,2.350000,2.260000,2.300000,2.300000,1224109
2013-12-23,2.368000,2.500000,2.300000,2.375000,2.375000,920556
2013-12-24,null,null,null,null,null,null
2013-12-27,2.500000,2.750000,2.500000,2.625000,2.625000,542773
2013-12-30,2.680000,3.000000,2.680000,2.875000,2.875000,1426722
2013-12-31,null,null,null,null,null,null
2014-01-02,2.980000,2.980000,2.970000,2.875000,2.875000,37152
2014-01-03,2.840000,3.000000,2.800000,2.875000,2.875000,307995
2014-01-06,2.840000,3.340000,2.840000,3.250000,3.250000,1322924
2014-01-07,3.315000,3.315000,2.825000,2.875000,2.875000,525056
2014-01-08,2.860000,2.860000,2.793000,2.875000,2.875000,61302
2014-01-09,2.990000,3.120000,2.835000,3.000000,3.000000,249663
2014-01-10,3.110000,3.110000,2.770000,3.000000,3.000000,732909
2014-01-13,2.780000,3.050000,2.780000,2.950000,2.950000,15370
2014-01-14,3.340000,3.340000,2.925000,3.000000,3.000000,1395667
2014-01-15,2.850000,3.100000,2.850000,3.000000,3.000000,48787
2014-01-16,3.250000,3.250000,3.000000,3.125000,3.125000,469800
2014-01-17,3.000000,3.000000,3.000000,2.875000,2.875000,25000
2014-01-20,2.793000,2.793000,2.793000,2.875000,2.875000,3950
2014-01-21,2.793000,2.793000,2.790000,2.875000,2.875000,79209
2014-01-22,2.790000,2.790000,2.750000,2.875000,2.875000,145857
2014-01-23,2.770000,2.770000,2.770000,2.750000,2.750000,5000
2014-01-24,2.560000,2.560000,2.560000,2.625000,2.625000,172421
2014-01-27,2.515000,2.720000,2.515000,2.625000,2.625000,37867
2014-01-28,2.625000,2.625000,2.625000,2.625000,2.625000,0
2014-01-29,2.625000,2.625000,2.625000,2.625000,2.625000,0
2014-01-30,2.695000,2.695000,2.500000,2.625000,2.625000,262399
2014-01-31,2.530000,2.650000,2.530000,2.650000,2.650000,120090
2014-02-03,2.665000,2.665000,2.500000,2.625000,2.625000,44643
2014-02-04,2.660000,2.660000,2.513000,2.625000,2.625000,103201
2014-02-05,2.625000,2.625000,2.625000,2.625000,2.625000,0
2014-02-06,2.441000,2.500000,2.441000,2.625000,2.625000,55000
2014-02-07,2.650000,2.650000,2.650000,2.625000,2.625000,70000
2014-02-10,2.500000,2.640000,2.500000,2.625000,2.625000,121661
2014-02-11,2.500000,2.625000,2.500000,2.625000,2.625000,54302
2014-02-12,2.301000,2.623000,2.301000,2.625000,2.625000,245000
2014-02-13,2.550000,2.550000,2.550000,2.625000,2.625000,12000
2014-02-14,2.500000,2.610000,2.500000,2.625000,2.625000,38500
2014-02-17,2.500000,2.500000,2.500000,2.625000,2.625000,36870
2014-02-18,2.500000,2.600000,2.350000,2.625000,2.625000,353763
2014-02-19,2.500000,2.600000,2.500000,2.625000,2.625000,169708
2014-02-20,2.300000,2.500000,2.250000,2.375000,2.375000,511670
2014-02-21,2.480000,2.500000,2.400000,2.375000,2.375000,124531
2014-02-24,2.500000,2.500000,2.500000,2.375000,2.375000,84000
2014-02-25,2.500000,2.845000,2.500000,2.750000,2.750000,779591
2014-02-26,2.525000,2.940000,2.525000,2.750000,2.750000,173444
2014-02-27,2.935000,2.940000,2.500000,2.750000,2.750000,102370
2014-02-28,2.910000,2.910000,2.905000,2.875000,2.875000,73458
2014-03-03,2.763000,2.910000,2.505000,2.750000,2.750000,88168
2014-03-04,2.525000,2.810000,2.500000,2.750000,2.750000,44963
2014-03-05,2.500000,2.810000,2.500000,2.750000,2.750000,17767
